symbol;nazwa
134190;POZOSTALI KIEROWNICY / DYREKTORZY W INSTYTUCJACH OPIEKI NAD DZIEĆMI
134190;Zastępcy pozostałych kierowników w instytucjach opieki nad dziećmi
134201;Dyrektor hospicjum
134201;KIEROWNIK HOSPICJUM
134201;Zastępca kierownika  /  dyrektora hospicjum
134202;Kierownik komórki oragnizacyjnej zakładu opieki zdrowotnej
134202;KIEROWNIK KOMÓRKI ORGANIZACYJNEJ PODMIOTU LECZNICZEGO
134202;Zastępca kierownika komórki organizacyjnej podmiotu leczniczego
134202;Zastępca kierownika komórki organizacyjnej zakładu opieki zdrowotnej 
134204;Dyrektor  /  kierownik poradni
134204;Dyrektor  /  kierownik przychodni
134204;Dyrektor placówki usług medycznych
134204;Dyrektor szpitala
134204;Dyrektor zakładu opieki zdrowotnej
134204;Kierownik placówki usług medycznych
134204;KIEROWNIK PODMIOTU LECZNICZEGO
134204;Kierownik zakładu opieki zdrowotnej
134204;Zastępca kierownika  /  dyrektora placówki usług medycznych
134204;Zastępca kierownika  /  dyrektora zakładu opieki zdrowotnej  /  szpitala
134204;Zastępca kierownika podmiotu leczniczego
134205;PIELĘGNIARKA ODDZIAŁOWA
134206;POŁOŻNA ODDZIAŁOWA
134207;LEKARZ ORDYNATOR ODDZIAŁU
134290;POZOSTALI KIEROWNICY W INSTYTUCJACH OPIEKI ZDROWOTNEJ
134301;Dyrektor domu spokojnej starości
134301;KIEROWNIK DOMU SPOKOJNEJ STAROŚCI
134301;Zastępca kierownika  /  dyrektora domu spokojnej starości
134390;POZOSTALI KIEROWNICY W INSTYTUCJACH OPIEKI NAD OSOBAMI STARSZYMI
134402;Kierownik  /  dyrektor domu opieki społecznej
134402;KIEROWNIK DOMU POMOCY SPOŁECZNEJ
134402;Zastępca kierownika  /  dyrektora domu opieki społecznej
134402;Zastępca kierownika domu pomocy społecznej
134403;Kierownik działu w instytucjach opieki społecznej
134403;KIEROWNIK DZIAŁU W INSTYTUCJACH POMOCY SPOŁECZNEJ
134403;Zastępca kierownika działu w instytucjach opieki społecznej
134403;Zastępca kierownika działu w instytucjach pomocy społecznej
134404;Dyrektor ośrodka pomocy rodzinie
134404;KIEROWNIK OŚRODKA POMOCY RODZINIE
134404;Zastępca kierownika  /  dyrektora ośrodka pomocy rodzinie
134490;POZOSTALI KIEROWNICY W INSTYTUCJACH POMOCY SPOŁECZNEJ
134490;Zastępcy pozostałych kierowników w instytucjach pomocy społecznej
134501;DYREKTOR SZKOŁY
134501;Zastępca dyrektora szkoły
134502;DZIEKAN
134502;Prodziekan
134503;KIEROWNIK WARSZTATÓW SZKOLNYCH
134503;Zastępca kierownika warsztatów szkolnych
134590;POZOSTALI KIEROWNICY W INSTYTUCJACH EDUKACYJNYCH
134590;Zastępcy pozostałych kierowników w instytucjach edukacyjnych
134601;KIEROWNIK AGENCJI DORADZTWA FINANSOWEGO
134601;Zastępca kierownika agencji doradztwa finansowego
134602;KIEROWNIK AGENCJI UBEZPIECZENIOWEJ
134602;Zastępca kierownika agencji ubezpieczeniowej
134603;KIEROWNIK DZIAŁU OPERACJI FINANSOWYCH
134603;Kierownik działu w banku
134603;Kierownik działu w instytucji ubezpieczeniowej
134603;Zastępca kierownika działu operacji finansowych
134603;Zastępca kierownika działu w banku
134603;Zastępca kierownika działu w instytucji ubezpieczeniowej
134605;KIEROWNIK PLACÓWKI BANKOWEJ
134605;Zastępca kierownika placówki bankowej
134690;POZOSTALI KIEROWNICY INSTYTUCJI FINANSOWYCH I UBEZPIECZENIOWYCH
134690;Zastępcy pozostałych kierowników instytucji finansowych i ubezpieczeniowych
134901;DYREKTOR ARESZTU ŚLEDCZEGO / ZAKŁADU KARNEGO
134901;Naczelnik więzienia
134901;Zastępca dyrektora aresztu śledczego  /  zakładu karnego
134902;DYREKTOR ZAKŁADU DLA NIELETNICH
134902;Zastępca dyrektora zakładu dla nieletnich
134903;KIEROWNIK AGENCJI OCHRONY MIENIA I OSÓB
134903;Zastępca kierownika agencji ochrony mienia i osób
134904;KIEROWNIK FIRMY AUDYTORSKIEJ
134904;Zastępca kierownika firmy audytorskiej
134905;KIEROWNIK KANCELARII PRAWNEJ
134905;Zastępca kierownika kancelarii prawnej
134906;KIEROWNIK AGENCJI FILMOWEJ / TELEWIZYJNEJ
134906;Zastępca kierownika agencji filmowej  /  telewizyjnej
134907;Dyrektor archiwum
134907;KIEROWNIK ARCHIWUM
134907;Zastępca kierownika  /  dyrektora archiwum
134908;Dyrektor biblioteki
134908;KIEROWNIK BIBLIOTEKI
134908;Zastępca kierownika  /  dyrektora biblioteki
134909;Dyrektor galerii sztuki
134909;KIEROWNIK GALERII SZTUKI
134909;Zastępca kierownika  /  dyrektora galerii sztuki
134910;Dyrektor muzeum
134910;KIEROWNIK MUZEUM
134910;Zastępca kierownika  /  dyrektora muzeum
134911;KOMENDANT POLICJI (POWIATOWY, MIEJSKI, REJONOWY, KOMISARIATU)
134911;Komendant stołeczny policji
134911;Zastępca komendanta policji (powiatowy, miejski, rejonowy, komisariatu)
134912;KOMENDANT STRAŻY GMINNEJ / MIEJSKIEJ
134912;Zastępca komendanta straży gminnej  /  miejskiej
134913;KOMENDANT POWIATOWY / MIEJSKI PAŃSTWOWEJ STRAŻY POŻARNEJ
134913;Zastępca komendanta powiatowego  /  miejskiego państwowej straży pożarnej
134914;KIEROWNIK REWIRU / POSTERUNKU POLICJI
134914;Zastępca kierownika rewiru  /  posterunku policji
134915;KIEROWNIK WYDAWNICTWA
134915;Dyrektor wydawnictwa
134916;PREZES  /  DYREKTOR SĄDU
134990;POZOSTALI KIEROWNICY W INSTYTUCJACH USŁUG WYSPECJALIZOWANYCH GDZIE INDZIEJ NIESKLASYFIKOWANI
134990;Zastępcy pozostałych kierowników w instytucjach usług wyspecjalizowanych gdzie indziej niesklasyfikowanych
141101;KIEROWNIK DZIAŁU W HOTELU
141101;Zastępca kierownika działu w hotelu
141102;KIEROWNIK HOSTELU / MOTELU
141102;Kierownik schroniska PTSM
141102;Zastępca kierownika hostelu  /  motelu
141103;Dyrektor hotelu
