pkd07;pkd25;Nazwa grupowania PKD 2007;Nazwa grupowania PKD 2025;Opis zakresu klasy/podklasy
0610;0610;Górnictwo ropy naftowej;Górnictwo ropy naftowej;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0620;0620;Górnictwo gazu ziemnego;Górnictwo gazu ziemnego;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0710;0710;Górnictwo rud żelaza;Górnictwo rud żelaza;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0721;0721;Górnictwo rud uranu i toru;Górnictwo rud uranu i toru;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0729;0729;Górnictwo pozostałych rud metali nieżelaznych;Górnictwo pozostałych rud metali nieżelaznych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0811;0811;Wydobywanie kamieni ozdobnych oraz kamienia dla potrzeb budownictwa, skał wapiennych, gipsu, kredy i łupków;Wydobywanie kamieni ozdobnych, wapienia, gipsu, łupków oraz pozostałych kamieni i skał;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0812;0812;"Wydobywanie żwiru i piasku; wydobywanie gliny i kaolinu";Wydobywanie żwiru, piasku, gliny i kaolinu;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0891;0891;Wydobywanie minerałów dla przemysłu chemicznego oraz do produkcji nawozów;Wydobywanie minerałów dla przemysłu chemicznego oraz do produkcji nawozów;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0892;0892;Wydobywanie torfu;Wydobywanie torfu;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0893;0893;Wydobywanie soli;Wydobywanie soli;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0899;0899;Pozostałe górnictwo i wydobywanie, gdzie indziej niesklasyfikowane;Pozostałe górnictwo i wydobywanie, gdzie indziej niesklasyfikowane;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0910;0910;Działalność usługowa wspomagająca eksploatację złóż ropy naftowej i gazu ziemnego;Działalność usługowa wspomagająca eksploatację złóż ropy naftowej i gazu ziemnego;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0990;0990;Działalność usługowa wspomagająca pozostałe górnictwo i wydobywanie;Działalność usługowa wspomagająca pozostałe górnictwo i wydobywanie;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1011;1011;Przetwarzanie i konserwowanie mięsa, z wyłączeniem mięsa z drobiu;Przetwarzanie i konserwowanie mięsa, z wyłączeniem mięsa z drobiu;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1012;1012;Przetwarzanie i konserwowanie mięsa z drobiu;Przetwarzanie i konserwowanie mięsa z drobiu;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1013;1013;Produkcja wyrobów z mięsa, włączając wyroby z mięsa drobiowego;Produkcja wyrobów z mięsa, w tym wyrobów z mięsa drobiowego;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1020;1020;Przetwarzanie i konserwowanie ryb, skorupiaków i mięczaków;Przetwarzanie i konserwowanie ryb, skorupiaków i mięczaków;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1031;1031;Przetwarzanie i konserwowanie ziemniaków;Przetwarzanie i konserwowanie ziemniaków;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1032;1032;Produkcja soków z owoców i warzyw;Produkcja soków z owoców i warzyw;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1039;1039;Pozostałe przetwarzanie i konserwowanie owoców i warzyw;Pozostałe przetwarzanie i konserwowanie owoców i warzyw;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1041;1041;Produkcja olejów i pozostałych tłuszczów płynnych;Produkcja olejów i pozostałych tłuszczów płynnych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1042;1042;Produkcja margaryny i podobnych tłuszczów jadalnych;Produkcja margaryny i podobnych tłuszczów jadalnych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1051;1051;Przetwórstwo mleka i wyrób serów;Wytwarzanie wyrobów mleczarskich;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1052;1052;Produkcja lodów;Produkcja lodów śmietankowych i pozostałych lodów jadalnych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1061;1061;Wytwarzanie produktów przemiału zbóż;Wytwarzanie produktów przemiału zbóż;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1062;1062;Wytwarzanie skrobi i wyrobów skrobiowych;Wytwarzanie skrobi i wyrobów skrobiowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1071;1071;"Produkcja pieczywa; produkcja świeżych wyrobów ciastkarskich i ciastek";"Produkcja pieczywa; produkcja świeżych wyrobów ciastkarskich i ciastek";podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1072;1072;"Produkcja sucharów i herbatników; produkcja konserwowanych wyrobów ciastkarskich i ciastek";Produkcja sucharów, herbatników, konserwowanych wyrobów ciastkarskich i ciastek;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1073;1073;Produkcja makaronów, klusek, kuskusu i podobnych wyrobów mącznych;Produkcja wyrobów mącznych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1081;1081;Produkcja cukru;Produkcja cukru;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1082;1082;Produkcja kakao, czekolady i wyrobów cukierniczych;Produkcja kakao, czekolady i wyrobów cukierniczych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1083;1083;Przetwórstwo herbaty i kawy;Przetwórstwo herbaty i kawy;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1084;1084;Produkcja przypraw;Produkcja przypraw;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1085;1085;Wytwarzanie gotowych posiłków i dań;Wytwarzanie gotowych posiłków i dań;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1086;1061;Produkcja artykułów spożywczych homogenizowanych i żywności dietetycznej;Wytwarzanie produktów przemiału zbóż; wytwarzanie produktów bezglutenowych mącznych
1086;1062;Produkcja artykułów spożywczych homogenizowanych i żywności dietetycznej;Wytwarzanie skrobi i wyrobów skrobiowych;wytwarzanie produktów bezglutenowych
1086;1071;Produkcja artykułów spożywczych homogenizowanych i żywności dietetycznej;"Produkcja pieczywa; produkcja świeżych wyrobów ciastkarskich i ciastek";wytwarzanie produktów bezglutenowych
1086;1072;Produkcja artykułów spożywczych homogenizowanych i żywności dietetycznej;Produkcja sucharów, herbatników, konserwowanych wyrobów ciastkarskich i ciastek;wytwarzanie produktów bezglutenowych
1086;1073;Produkcja artykułów spożywczych homogenizowanych i żywności dietetycznej;Produkcja wyrobów mącznych;wytwarzanie produktów bezglutenowych
1086;1086;Produkcja artykułów spożywczych homogenizowanych i żywności dietetycznej;Produkcja artykułów spożywczych homogenizowanych i żywności dietetycznej;"produkcja specjalnej żywności, takiej jak: preparaty do początkowego żywienia niemowląt, modyfikowane mleko uzupełniające i pozostała żywność uzupełniająca dla niemowląt, żywność dla dzieci; żywność niskokaloryczna i o zmniejszonej kaloryczności;  żywność przeznaczona do celów medycznych"
1089;1089;Produkcja pozostałych artykułów spożywczych, gdzie indziej niesklasyfikowana;Produkcja pozostałych artykułów spożywczych, gdzie indziej niesklasyfikowana;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1091;1091;Produkcja gotowej paszy dla zwierząt gospodarskich;Produkcja gotowych pasz dla zwierząt gospodarskich;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1092;1092;Produkcja gotowej karmy dla zwierząt domowych;Produkcja gotowych karm dla zwierząt domowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1101;1101;Destylowanie, rektyfikowanie i mieszanie alkoholi;Destylowanie, rektyfikowanie i mieszanie alkoholi;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1102;1102;Produkcja win gronowych;Produkcja win gronowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1103;1103;Produkcja cydru i pozostałych win owocowych;Produkcja cydru i pozostałych owocowych napojów fermentowanych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1104;1104;Produkcja pozostałych niedestylowanych napojów fermentowanych;Produkcja pozostałych niedestylowanych napojów fermentowanych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1105;1105;Produkcja piwa;Produkcja piwa;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1106;1106;Produkcja słodu;Produkcja słodu;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1107;1107;"Produkcja napojów bezalkoholowych; produkcja wód mineralnych i pozostałych wód butelkowanych";Produkcja napojów bezalkoholowych i wód butelkowanych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1200;1200;PRODUKCJA WYROBÓW TYTONIOWYCH;Produkcja wyrobów tytoniowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1310;1310;Przygotowanie i przędzenie włókien tekstylnych;Przygotowanie i przędzenie włókien tekstylnych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1320;1320;Produkcja tkanin;Produkcja tkanin;"produkcja tkanin bawełnianych, wełnianych, czesankowych lub jedwabnych, wykonywanych w całości z jednego rodzaju włókna lub z udziałem innych włókien sztucznych lub syntetycznych (polipropylenowych i tym podobnych);  produkcja tkanin z lnu, ramii, konopi, juty, włókien łykowych i przędz specjalnych; produkcja tkanin z surowców wtórnych; produkcja tkanin z okrywą włókienną lub tkanin szenilowych, tkanin ręcznikowych frotte, gazy; produkcja tkanin z nici aramidowych; produkcja imitacji futra metodą tkania"
1320;1396;Produkcja tkanin;Produkcja pozostałych technicznych i przemysłowych wyrobów tekstylnych;produkcja tkanin z włókien szklanych
