pkd07;pkd25;Nazwa grupowania PKD 2007;Nazwa grupowania PKD 2025;Opis zakresu klasy/podklasy
1439;1410;Produkcja pozostałej odzieży dzianej;Produkcja odzieży dzianej;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1511;1511;"Wyprawa skór, garbowanie; wyprawa i barwienie skór futerkowych";Garbowanie, barwienie, wyprawa skór i futer;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1512;1512;"Produkcja toreb bagażowych, toreb ręcznych i podobnych wyrobów kaletniczych; produkcja wyrobów rymarskich";"Produkcja toreb bagażowych, toreb ręcznych i podobnych wyrobów kaletniczych; produkcja wyrobów rymarskich z dowolnego materiału";podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1520;1520;Produkcja obuwia;Produkcja obuwia;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1610;1611;Produkcja wyrobów tartacznych;Produkcja wyrobów tartacznych;"piłowanie, heblowanie i obróbka drewna; rozcinanie na warstwy, korowanie lub struganie kłód; produkcja drewnianych podkładów kolejowych;  produkcja drewnianych materiałów podłogowych niepołączonych;  produkcja, poza terenem lasów, wełny drzewnej"
1610;1612;Produkcja wyrobów tartacznych;Obróbka i wykańczanie wyrobów tartacznych;"ogólna działalność związana z obróbką i wykańczaniem drewna, zazwyczaj wykonywana za opłatą lub na podstawie umowy: wiercenie, toczenie, frezowanie, wiórkowanie, przeciąganie, wyrównywanie, szlifowanie, polerowanie, łączenie drewna i tym podobne;  suszenie drewna; impregnacja lub obróbka chemiczna drewna; obróbka surowego drewna farbą, bejcą lub innymi środkami konserwującymi; inne czynności związane z obróbką i wykańczaniem drewna"
1621;1621;Produkcja arkuszy fornirowych i płyt wykonanych na bazie drewna;Produkcja arkuszy fornirowych i płyt wykonanych na bazie drewna;"produkcja arkuszy fornirowych odpowiednio cienkich w celu użycia ich do oklejania, produkcji sklejki lub innych celów: wygładzonych, barwionych, powlekanych, impregnowanych, wzmocnionych (z podkładem papierowym lub materiałowym), wykonanych w formie motywów; produkcja sklejki, płyt fornirowych i podobnych laminowanych płyt i arkuszy drewnianych; produkcja płyt o wiórach zorientowanych (OSB) i innych płyt wiórowych; produkcja płyt pilśniowych średniej gęstości (MDF) i innych płyt pilśniowych; produkcja drewna zagęszczonego; produkcja drewna klejonego warstwowo, drewna klejonego krzyżowo (CLT) i drewna fornirowanego warstwowo; produkcja izolacyjnych płyt pilśniowych z drewna lub innych zdrewniałych materiałów, nawet połączonych żywicami lub innymi substancjami organicznymi"
1621;1627;Produkcja arkuszy fornirowych i płyt wykonanych na bazie drewna;Wykańczanie wyrobów drewnianych;procesy wykańczające wyroby drewniane
1622;1622;Produkcja gotowych parkietów podłogowych;Produkcja gotowych parkietów podłogowych;produkcja drewnianych bloków parkietowych, klepek i tym podobnych, połączonych w formę płyt
1622;1627;Produkcja gotowych parkietów podłogowych;Wykańczanie wyrobów drewnianych;procesy wykańczające wyroby drewniane
1623;1623;Produkcja pozostałych wyrobów stolarskich i ciesielskich dla budownictwa;Produkcja pozostałych wyrobów stolarskich i ciesielskich dla budownictwa;"produkcja wyrobów z drewna przeznaczonych głównie dla budownictwa: belki, krokwie, rozpory dachowe, prefabrykowane wiązary dachowe z klejonego drewna warstwowego połączonego metalem,schody, balustrady,gonty, dachówki, listwy dekoracyjne, profile; produkcja prefabrykowanych budynków lub ich elementów, głównie z drewna, np. saun; produkcja domów przenośnych i przyczep mieszkalnych; produkcja drewnianych ścianek działowych (z wyjątkiem wolnostojących); produkcja stojaków drewnianych"
1623;1625;Produkcja pozostałych wyrobów stolarskich i ciesielskich dla budownictwa;Produkcja drzwi i okien z drewna;"produkcja drzwi, ościeżnic i progów, z drewna; produkcja okien, okiennic i okien francuskich oraz ich ram, z drewna; produkcja drzwi i okien wielomateriałowych, z ramą wykonaną z drewna"
1623;1627;Produkcja pozostałych wyrobów stolarskich i ciesielskich dla budownictwa;Wykańczanie wyrobów drewnianych;procesy wykańczające wyroby drewniane
1624;1624;Produkcja opakowań drewnianych;Produkcja opakowań drewnianych;"produkcja skrzyń, pudełek, klatek i podobnych artykułów drewnianych; produkcja palet, palet skrzyniowych i pozostałych opakowań transportowych z drewna; produkcja beczek, kadzi, balii i pozostałych wyrobów bednarskich; produkcja drewnianych bębnów"
1624;1627;Produkcja opakowań drewnianych;Wykańczanie wyrobów drewnianych;procesy wykańczające wyroby drewniane
1629;1520;"Produkcja pozostałych wyrobów z drewna; produkcja wyrobów z korka, słomy i materiałów używanych do wyplatania";Produkcja obuwia;produkcja części obuwia z drewna
1629;1626;"Produkcja pozostałych wyrobów z drewna; produkcja wyrobów z korka, słomy i materiałów używanych do wyplatania";Produkcja paliw stałych z biomasy roślinnej;produkcja brykietów, kłód i granulek, wykonywanych z aglomerowanych trocin, drewna odpadowego i ścinków drewnianych, słomy lub innej biomasy roślinnej
1629;1627;"Produkcja pozostałych wyrobów z drewna; produkcja wyrobów z korka, słomy i materiałów używanych do wyplatania";Wykańczanie wyrobów drewnianych;"proces uszlachetniania lub zabezpieczania powierzchni drewnianych; wykończanie wyrobów drewnianych"
1629;1628;"Produkcja pozostałych wyrobów z drewna; produkcja wyrobów z korka, słomy i materiałów używanych do wyplatania";Produkcja pozostałych wyrobów z drewna oraz wyrobów z korka, słomy i materiałów używanych do wyplatania;produkcja różnych wyrobów z drewna: drewnianych trzonków i korpusów do narzędzi, mioteł, szczotek, drewnianych form i kopyt szewskich, wieszaków ubraniowych, drewnianych artykułów gospodarstwa domowego, naczyń stołowych i kuchennych,
1711;1711;Produkcja masy włóknistej;Produkcja masy włóknistej;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1712;1712;Produkcja papieru i tektury;Produkcja papieru i tektury;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1721;1721;Produkcja papieru falistego i tektury falistej oraz opakowań z papieru i tektury;Produkcja papieru falistego, tektury falistej oraz opakowań z papieru i tektury;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1722;1722;Produkcja artykułów gospodarstwa domowego, toaletowych i sanitarnych;Produkcja artykułów gospodarstwa domowego, toaletowych i sanitarnych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1723;1723;Produkcja artykułów piśmiennych;Produkcja artykułów papierniczych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1724;1724;Produkcja tapet;Produkcja tapet;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1729;1725;Produkcja pozostałych wyrobów z papieru i tektury;Produkcja pozostałych wyrobów z papieru i tektury;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1811;1811;Drukowanie gazet;Drukowanie gazet;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1812;1330;Pozostałe drukowanie;Wykańczanie wyrobów tekstylnych;drukowanie na wyrobach tekstylnych jako proces pośredni w ich produkcji
1812;1812;Pozostałe drukowanie;Pozostałe drukowanie;"drukowanie czasopism i pozostałych periodyków, wydawanych rzadziej niż cztery razy w tygodniu; drukowanie książek, broszur, nut i manuskryptów, map, atlasów, plakatów, katalogów reklamowych, prospektów i innych reklam, znaczków pocztowych, znaczków skarbowych, dokumentów własności, czeków i innych papierów wartościowych, kart mikroprocesorowych, albumów, pamiętników, kalendarzy i innych druków komercyjnych, podkładek pod piwo, spersonalizowanych materiałów piśmiennych i innych druków metodą typograficzną, offsetową, fotograwiurową, fleksograficzną, sitodrukową i za pomocą innych pras drukarskich, maszyn powielających, drukarek komputerowych, wytłaczarek itp, w tym szybki druk bezpośrednio na tekstyliach, plastiku, szkle, metalu, drewnie i ceramice; druk cyfrowy; druk dekoracyjny np. druk opakowań na prezenty, tapet, materiałów do transferu; druk wielkoformatowy, np. druk flag, banerów, roll-upów, plakatów; druk na etykietach lub przywieszkach, np. druk litograficzny, druk wklęsły, druk fleksograficzny, druk szyldów; grawerowanie laserowe na tekstyliach"
1813;1813;Działalność usługowa związana z przygotowywaniem do druku;Działalność usługowa związana z przygotowywaniem do druku;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1814;1814;Introligatorstwo i podobne usługi;Introligatorstwo i podobne usługi;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1820;1820;Reprodukcja zapisanych nośników informacji;Reprodukcja zapisanych nośników informacji;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1910;1910;Wytwarzanie i przetwarzanie koksu;Wytwarzanie i przetwarzanie koksu;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1920;1920;Wytwarzanie i przetwarzanie produktów rafinacji ropy naftowej;Wytwarzanie i przetwarzanie produktów rafinacji ropy naftowej oraz produktów z paliw kopalnych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2011;2011;Produkcja gazów technicznych;Produkcja gazów technicznych;"produkcja wybranych gazów nieorganicznych w stanie ciekłym lub sprężonym dla zastosowań przemysłowych lub medycznych: pierwiastków chemicznych w stanie gazowym, powietrza w stanie ciekłym lub sprężonym, mieszanek gazów technicznych, gazów obojętnych np. dwutlenku węgla, gazów izolacyjnych; produkcja wodoruw celu innym niż dostarczanie energii przez sieć"
2011;2014;Produkcja gazów technicznych;Produkcja pozostałych podstawowych chemikaliów organicznych;produkcja gazów chłodniczych
2012;2012;Produkcja barwników i pigmentów;Produkcja barwników i pigmentów;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2013;2013;Produkcja pozostałych podstawowych chemikaliów nieorganicznych;Produkcja pozostałych podstawowych chemikaliów nieorganicznych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2014;2014;Produkcja pozostałych podstawowych chemikaliów organicznych;Produkcja pozostałych podstawowych chemikaliów organicznych;"produkcja podstawowych chemikaliów przy zastosowaniu takich procesów jak kraking termiczny, destylacja; wynikiem tych procesów są zwykle wyodrębnione pierwiastki chemiczne oraz wyodrębnione chemicznie zdefiniowane związki organiczne; produkcja podstawowych chemikaliów organicznych: węglowodorów alifatycznych nasyconych i nienasyconych, węglowodorów cyklicznych nasyconych i nienasyconych, alkoholi acyklicznych i cyklicznych, kwasów mono- i polikarboksylowych, w tym kwasu octowego, innych związków z tlenową grupą funkcyjną, w tym aldehydów, ketonów, chinonów oraz związków z podwójną lub wielokrotną tlenową grupą funkcyjną, syntetycznego glicerolu, związków organicznych z azotową grupą funkcyjną, w tym amin, fermentacji trzciny cukrowej, kukurydzy lub podobnych produktów w celu wytworzenia alkoholu i estrów; innych związków organicznych, w tym produktów destylacji drewna (np. węgiel drzewny) itp.; wytwarzanie syntetycznych produktów aromatycznych; produkcja metanu, nie w celu dostarczania go jako paliwa gazowego za pośrednictwem stałej sieci dostaw; destylacja smoły węglowej; produkcja alkoholu etylowego, innego niż do produkcji paliwa bioetanolowego"
2014;2051;Produkcja pozostałych podstawowych chemikaliów organicznych;Produkcja biopaliw płynnych;"produkcja etanolu z biomasy; produkcja mieszanek bioetanolu i eterów częściowo pochodzących z biomasy; produkcja biopaliw płynnych, nawet gdy na wejściu procesu produkcyjnego wykorzystywane są odpady"
2015;2015;Produkcja nawozów i związków azotowych;Produkcja nawozów i związków azotowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2016;2016;Produkcja tworzyw sztucznych w formach podstawowych;Produkcja tworzyw sztucznych w formach podstawowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2017;2017;Produkcja kauczuku syntetycznego w formach podstawowych;Produkcja kauczuku syntetycznego w formach podstawowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2020;2020;Produkcja pestycydów i pozostałych środków agrochemicznych;Produkcja pestycydów, środków dezynfekujących i pozostałych środków agrochemicznych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2030;2030;Produkcja farb, lakierów i podobnych powłok, farb drukarskich i mas uszczelniających;Produkcja farb, lakierów i podobnych powłok, farb drukarskich i mas uszczelniających;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2041;2041;Produkcja mydła i detergentów, środków myjących i czyszczących;Produkcja mydła i detergentów, środków myjących i czyszczących;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2042;2042;Produkcja wyrobów kosmetycznych i toaletowych; Produkcja wyrobów kosmetycznych i toaletowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2051;2059;Produkcja materiałów wybuchowych;Produkcja pozostałych wyrobów chemicznych, gdzie indziej niesklasyfikowana;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2052;2059;Produkcja klejów;Produkcja pozostałych wyrobów chemicznych, gdzie indziej niesklasyfikowana;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2053;2059;Produkcja olejków eterycznych;Produkcja pozostałych wyrobów chemicznych, gdzie indziej niesklasyfikowana;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2059;2051;Produkcja pozostałych wyrobów chemicznych, gdzie indziej niesklasyfikowana;Produkcja biopaliw płynnych;produkcja biodiesla
2059;2059;Produkcja pozostałych wyrobów chemicznych, gdzie indziej niesklasyfikowana;Produkcja pozostałych wyrobów chemicznych, gdzie indziej niesklasyfikowana;"produkcja płyt i błon fotograficznych, papieru światłoczułego i pozostałych nienaświetlonych materiałów światłoczułych; produkcja wyrobów chemicznych do zastosowań fotograficznych; produkcja żelatyny i jej pochodnych; produkcja olejków eterycznych"
2060;2060;Produkcja włókien chemicznych;Produkcja włókien chemicznych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2110;2110;Produkcja podstawowych substancji farmaceutycznych;Produkcja podstawowych substancji farmaceutycznych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2120;2120;Produkcja leków i pozostałych wyrobów farmaceutycznych;Produkcja leków i pozostałych wyrobów farmaceutycznych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2211;2211;"Produkcja opon i dętek z gumy; bieżnikowanie i regenerowanie opon z gumy";Produkcja, bieżnikowanie i regenerowanie opon z gumy oraz produkcja dętek;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2219;1520;Produkcja pozostałych wyrobów z gumy;Produkcja obuwia;produkcja części obuwia z gumy
2219;2212;Produkcja pozostałych wyrobów z gumy;Produkcja pozostałych wyrobów z gumy;"produkcja pozostałych wyrobów z kauczuku naturalnego lub syntetycznego, wulkanizowanego, niewulkanizowanego lub utwardzanego: płyt, arkuszy, pasków, prętów, kształtowników profilowanych, rur, przewodów i węży, taśm przenośnikowych lub transmisyjnych i pasów; artykułów higieniczne z gumy: środków antykoncepcyjne w osłonkach, smoczków, butelek do gorącej wody itp.; gumowych artykułów odzieżowych, nici i lin gumowych, przędzy i tkanin gumowanych, gumowych pierścieni, złączek i uszczelek, gumowych pokryć wałków, nadmuchiwanych materacy gumowych, nadmuchiwanych balonów; produkcja szczotek gumowych; produkcja rur z twardej gumy; produkcja grzebieni z twardej gumy, spinek do włosów, wałków do włosów itp.; produkcja gumowych kompensatorów dla przemysłu budowlanego; produkcja lateksu z gumy komórkowej; produkcja gumowych wykładzin podłogowych; produkcja gumowych materiałów naprawczych; produkcja tkanin impregnowanych, powlekanych, pokrywanych lub laminowanych gumą; produkcja gumowych materacy do łóżek wodnych; produkcja gumowych czepków i fartuchów kąpielowych; produkcja gumowych mokrych kombinezonów i kombinezonów do nurkowania; produkcja gumowych artykułów erotycznych; produkcja odzieży z lateksu"
2221;2221;Produkcja płyt, arkuszy, rur i kształtowników z tworzyw sztucznych;Produkcja płyt, arkuszy, rur i kształtowników z tworzyw sztucznych;"produkcja półproduktów z tworzyw sztucznych: płyt z tworzyw sztucznych, arkuszy, bloków, folii, taśm i tym podobnych; produkcja wyrobów gotowych z tworzyw sztucznych: przewodów, rur i węży, tulejek; łączników rur i węży, produkcja folii lub arkuszy celofanowych; produkcja elastycznych lub sztywnych płyt i arkuszy z poliuretanu komórkowego; produkcja płyt, arkuszy, folii, bloków i taśm z tworzyw sztucznych, wzmocnionych, laminowanych, wspieranych lub w podobny sposób łączonych z innymi materiałami"
2221;2225;Produkcja płyt, arkuszy, rur i kształtowników z tworzyw sztucznych;Obróbka i wykańczanie wyrobów z tworzyw sztucznych;wykończanie produktów z tworzyw sztucznych
2222;2222;Produkcja opakowań z tworzyw sztucznych;Produkcja opakowań z tworzyw sztucznych;produkcja wyrobów z tworzyw sztucznych używanych do pakowania towarów: torebek, worków, pojemników, skrzynek, gąsiorów, butelek i tym podobnych
2222;2225;Produkcja opakowań z tworzyw sztucznych;Obróbka i wykańczanie wyrobów z tworzyw sztucznych;wykończanie produktów z tworzyw sztucznych
